City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bilibino,68.0546,166.4372,-9.2,99,100,3.02,RU,1701662302
1,georgetown,5.4112,100.3354,89.53,79,20,4.61,MY,1701662302
2,puerto natales,-51.7236,-72.4875,42.85,88,83,7.85,CL,1701662303
3,blackmans bay,-43.0167,147.3167,70.74,54,100,1.99,AU,1701662304
4,waitangi,-43.9535,-176.5597,57.81,73,100,3.0,NZ,1701662247
5,port-aux-francais,-49.35,70.2167,39.06,72,8,33.46,TF,1701662305
6,egilsstadir,65.2653,-14.3948,19.31,93,100,2.3,IS,1701662305
7,suda,59.1525,37.5582,18.07,95,100,5.21,RU,1701662305
8,port mathurin,-19.6833,63.4167,80.69,83,20,16.11,MU,1701662306
9,wailua homesteads,22.0669,-159.378,79.23,83,20,10.36,US,1701662258
10,international falls,48.6011,-93.411,33.98,75,71,4.61,US,1701662307
11,ketchikan,55.3422,-131.6461,46.87,87,100,6.91,US,1701662307
12,chinde,26.8418,88.0763,65.12,46,1,4.12,NP,1701662308
13,longyearbyen,78.2186,15.6401,17.44,73,75,12.66,SJ,1701662154
14,selfoss,63.9331,-20.9971,27.86,58,100,8.05,IS,1701662309
15,oume,35.7839,139.2431,55.96,34,0,4.61,JP,1701662309
16,ixtapa,20.7,-105.2,76.23,81,100,2.86,MX,1701662310
17,codrington,-38.2667,141.9667,81.0,31,87,14.63,AU,1701662310
18,warangal,18.0,79.5833,77.72,56,100,6.89,IN,1701662310
19,grytviken,-54.2811,-36.5092,33.82,73,5,6.4,GS,1701662311
20,whitehorse,60.7161,-135.0538,11.17,84,75,3.44,CA,1701662311
21,stephenville,32.2207,-98.2023,60.93,34,0,8.05,US,1701662309
22,tiksi,71.6872,128.8694,-21.23,99,100,7.49,RU,1701662312
23,keflavik,64.0049,-22.5624,34.23,75,0,13.8,IS,1701662312
24,ushuaia,-54.8,-68.3,47.86,66,40,34.52,AR,1701662313
25,vorkuta,67.5,64.0,-17.46,95,92,4.76,RU,1701662313
26,albany,42.6001,-73.9662,41.65,93,100,1.99,US,1701662314
27,jamestown,42.097,-79.2353,42.39,95,100,17.27,US,1701662055
28,yellowknife,62.456,-114.3525,-1.68,84,100,10.36,CA,1701662314
29,mombetsu,44.3525,143.3525,37.42,60,20,6.91,JP,1701662315
30,bredasdorp,-34.5322,20.0403,61.72,70,39,6.08,ZA,1701662316
31,broome,42.2506,-75.833,45.7,95,93,3.0,US,1701662316
32,puerto ayora,-0.7393,-90.3518,75.54,92,82,4.0,EC,1701662317
33,margaret river,-33.95,115.0667,67.23,61,100,10.78,AU,1701662317
34,vila velha,-20.3297,-40.2925,78.94,85,75,11.5,BR,1701662111
35,ribeira grande,38.5167,-28.7,54.77,73,26,7.0,PT,1701662318
36,lae,-6.7221,146.9847,92.07,66,75,9.17,PG,1701662318
37,yarmouth,41.7057,-70.2286,48.0,95,100,5.99,US,1701662319
38,papatowai,-46.5619,169.4708,53.74,54,19,13.44,NZ,1701662319
39,qaqortoq,60.7167,-46.0333,25.38,73,100,9.53,GL,1701662320
40,brisas de zicatela,15.8369,-97.0419,79.32,65,0,3.44,MX,1701662320
41,arroyo,41.6096,-4.7969,46.22,75,100,21.85,ES,1701662321
42,kissidougou,9.1848,-10.0999,68.79,78,35,3.02,GN,1701662321
43,adamstown,-25.066,-130.1015,72.27,85,100,12.24,PN,1701662322
44,progreso,21.2833,-89.6667,76.1,89,84,5.12,MX,1701662322
45,talnakh,69.4865,88.3972,-29.65,85,12,1.81,RU,1701662216
46,al kharj,24.155,47.3346,63.18,32,100,5.61,SA,1701662323
